,City,Latitude,Longitude,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
374,Muroto-misakicho,33.28,134.15,71.6,83,75,2.24,JP,1592431009
375,Xam Nua,20.42,104.04,68.09,93,95,1.81,LA,1592431278
376,Eyl,7.98,49.82,83.19,62,58,27.04,SO,1592431279
377,Ismailia,30.6,32.27,72.88,80,0,14.36,EG,1592431280
378,Elmina,5.09,-1.35,77.32,89,93,15.03,GH,1592431184
379,Pevek,69.7,170.31,44.73,62,99,8.28,RU,1592431281
380,Dalby,-27.18,151.27,46.4,100,40,8.05,AU,1592431282
381,Luis Gil Pérez,17.87,-93.05,93.2,82,75,5.82,MX,1592431283
382,Iqaluit,63.75,-68.51,41.0,60,75,11.41,CA,1592431212
383,Xai-Xai,-25.05,33.64,64.42,83,86,3.96,MZ,1592431283
384,Deniliquin,-35.53,144.97,39.99,94,0,8.1,AU,1592431283
385,Minden,52.28,8.92,69.8,77,100,3.36,DE,1592431283
386,Kholodnyy,62.72,147.95,67.71,45,2,1.03,RU,1592431283
387,Lorengau,-2.02,147.27,83.23,78,32,10.63,PG,1592431283
388,Kaili,-3.46,120.21,68.68,96,97,1.48,ID,1592431284
389,Kyzyl-Suu,42.34,78.0,51.06,67,88,1.95,KG,1592431284
390,Gamba,-2.65,10.0,72.3,91,100,3.58,GA,1592431284
391,Sistranda,63.73,8.83,57.2,87,41,9.17,NO,1592431285
392,Orocué,4.79,-71.34,80.24,87,68,4.88,CO,1592431285
393,Prescott,34.54,-112.47,84.0,12,1,12.75,US,1592431285
394,São Geraldo do Araguaia,-6.4,-48.55,76.84,74,49,3.09,BR,1592431285
395,Rumford,44.55,-70.55,86.0,40,1,1.01,US,1592431285
396,San Luis,-33.3,-66.34,51.75,53,84,8.66,AR,1592431205
397,Sabang,5.89,95.32,82.89,77,92,7.9,ID,1592431286
398,Eureka,40.8,-124.16,71.01,35,0,8.01,US,1592431286
399,Comodoro Rivadavia,-45.87,-67.5,51.8,66,100,3.36,AR,1592431197
400,San Cristobal,7.77,-72.22,91.4,43,20,14.99,VE,1592431286
401,Kaoma,-14.78,24.8,51.44,65,0,6.44,ZM,1592431286
402,Koungou,-12.73,45.2,80.6,61,15,25.28,YT,1592431286
403,Stolin,51.89,26.85,63.18,96,0,7.4,BY,1592431287
404,Andenes,69.31,16.12,48.2,87,0,6.93,NO,1592431287
405,Saint Anthony,45.02,-93.22,90.0,33,20,18.34,US,1592431179
406,Swedru,5.54,-0.7,78.8,94,75,13.87,GH,1592431287
407,Alofi,-19.06,-169.92,77.0,47,20,14.99,NU,1592431287
408,Schisma Eloundas,35.27,25.72,71.6,60,0,10.29,GR,1592431288
409,Emerald,-23.53,148.17,57.0,87,0,8.05,AU,1592431288
410,Molochnoye,59.29,39.68,56.8,90,1,7.63,RU,1592431288
411,Los Llanos de Aridane,28.66,-17.92,73.4,78,18,9.17,ES,1592431288
412,Iquitos,-3.75,-73.25,86.0,70,75,2.24,PE,1592431122
413,Sabla,12.75,4.71,86.59,62,26,16.53,NG,1592431289
414,Grindavik,63.84,-22.43,48.2,76,75,18.34,IS,1592431005
415,Pouébo,-20.4,164.57,74.25,66,82,7.0,NC,1592431289
416,Mbanza-Ngungu,-5.25,14.87,68.92,59,68,1.14,CD,1592431289
417,Nanortalik,60.14,-45.24,38.7,77,99,8.81,GL,1592431289
418,Tres Arroyos,-38.37,-60.28,55.76,96,99,3.98,AR,1592431289
419,Luga,58.74,29.85,66.54,88,0,3.49,RU,1592431290
420,Belmonte,-15.86,-38.88,75.2,64,75,6.93,BR,1592431290
421,Ayr,55.46,-4.63,60.01,93,40,5.68,GB,1592431290
422,Sarkand,45.41,79.92,54.39,52,1,5.44,KZ,1592431290
423,Saint-Joseph,-21.37,55.62,64.4,93,90,11.41,RE,1592431290
424,São Lourenço do Oeste,-26.36,-52.85,61.57,88,0,9.46,BR,1592431290
425,Poya,-21.35,165.15,73.78,69,51,4.16,NC,1592431290
426,Esim,4.87,-2.24,77.14,87,95,14.32,GH,1592431291
427,Téra,14.01,0.75,98.53,26,30,14.32,NE,1592431291
428,Khatanga,71.97,102.5,49.14,57,95,5.35,RU,1592431291
429,Itirapina,-22.25,-47.82,66.2,68,0,8.05,BR,1592431291
430,Jinhua,29.11,119.65,79.23,84,87,2.51,CN,1592431291
431,College,64.86,-147.8,75.99,38,40,4.7,US,1592431095
432,Andros Town,24.7,-77.77,75.2,94,90,4.7,BS,1592431292
433,Salihorsk,52.79,27.54,63.99,94,0,8.59,BY,1592431292
434,Ambon City,-3.7,128.18,82.0,95,27,1.01,ID,1592431292
435,Sinnamary,5.38,-52.95,80.01,83,92,5.21,GF,1592431292
436,Mahon,39.89,4.27,68.0,77,20,4.7,ES,1592431292
437,Nefteyugansk,61.1,72.6,48.2,66,0,11.18,RU,1592431293
438,Faya,18.39,42.45,78.8,25,92,4.68,SA,1592431019
439,Casablanca,33.59,-7.62,71.01,82,40,8.05,MA,1592431293
440,Mitsamiouli,-11.38,43.28,78.12,67,34,14.65,KM,1592431293
441,Krasnovishersk,60.41,57.08,38.68,76,2,3.44,RU,1592431293
442,Alghero,40.56,8.32,62.6,88,0,1.12,IT,1592431293
443,Sri Aman,1.24,111.46,75.2,100,79,2.08,MY,1592431294
444,Bereslavka,48.63,44.04,73.4,35,69,15.66,RU,1592431294
445,Longyan,25.11,117.02,73.62,85,86,2.8,CN,1592431047
446,Bosaso,11.28,49.18,93.16,41,98,20.51,SO,1592431294
447,Zelenogorskiy,55.03,87.0,55.4,71,19,3.09,RU,1592431294
448,Half Moon Bay,37.46,-122.43,86.0,59,1,18.34,US,1592431294
449,Yeniseysk,58.45,92.17,47.07,75,0,5.7,RU,1592431009
450,Jalu,29.03,21.55,72.1,54,0,13.33,LY,1592431018
451,Tucumã,-0.18,-50.05,78.4,89,79,5.14,BR,1592431295
452,Locri,38.24,16.26,72.0,75,0,3.0,IT,1592431295
453,Shāhābād,27.65,79.95,91.56,52,100,8.61,IN,1592431295
454,San Patricio,19.22,-104.7,87.8,74,20,11.41,MX,1592431295
455,Kununurra,-15.77,128.73,68.0,49,0,5.82,AU,1592431296
456,Meulaboh,4.14,96.13,77.2,76,96,3.2,ID,1592431296
457,Skeldon,5.88,-57.13,78.67,86,88,6.08,GY,1592431296
458,Qasigiannguit,68.82,-51.19,39.2,81,68,5.82,GL,1592431296
459,Grenville,12.12,-61.62,84.2,79,40,19.46,GD,1592431296
460,Talas,38.69,35.55,64.4,63,75,11.41,TR,1592431296
461,Frontera,26.93,-101.45,97.0,30,10,5.99,MX,1592431297
462,Garachiné,8.06,-78.36,82.0,77,82,6.53,PA,1592431298
463,Kavieng,-2.57,150.8,83.97,71,15,8.5,PG,1592431300
464,Mokhsogollokh,61.47,128.92,65.5,55,93,4.79,RU,1592431003
465,Manicoré,-5.81,-61.3,80.6,83,92,2.24,BR,1592431301
466,Nemuro,43.32,145.57,52.3,94,93,7.81,JP,1592431302
467,Loja,-3.99,-79.2,84.2,37,20,17.22,EC,1592431069
468,Owerri,5.48,7.03,72.7,96,76,2.82,NG,1592431304
469,Harper,4.38,-7.72,77.67,84,66,11.63,LR,1592431305
470,Oodweyne,9.41,45.06,73.53,60,92,15.21,SO,1592431306
471,Bella Union,-30.28,-57.6,71.15,75,100,14.25,UY,1592431306
472,Leshukonskoye,64.9,45.76,38.03,81,13,3.38,RU,1592431019
473,Lima,-12.04,-77.03,64.4,77,90,12.75,PE,1592431078
474,Hobyo,5.35,48.53,79.81,71,100,26.98,SO,1592431309
475,Namatanai,-3.67,152.43,81.23,78,64,9.22,PG,1592431039
476,Baijiantan,45.63,85.18,76.98,32,85,14.61,CN,1592431310
477,Riberalta,-10.98,-66.1,80.4,63,42,1.3,BO,1592431311
478,Souillac,-20.52,57.52,68.0,94,75,18.34,MU,1592431312
479,Marrakesh,31.63,-8.01,78.8,47,31,9.17,MA,1592431313
480,Codrington,-38.27,141.97,44.8,88,91,12.06,AU,1592431315
481,Stillwater,36.12,-97.06,96.01,36,20,16.11,US,1592431316
482,Bolshaya Martynovka,47.27,41.67,74.61,49,100,22.1,RU,1592431317
483,Ningxiang,37.34,111.21,57.65,68,0,1.14,CN,1592431318
484,Istok,42.78,20.49,64.4,59,75,3.36,XK,1592431319
485,Sofia,42.7,23.32,60.8,93,75,1.12,BG,1592431208
486,Khovd,48.01,91.64,62.02,51,78,0.94,MN,1592431320
487,Ahipara,-35.17,173.17,60.8,87,75,9.1,NZ,1592431321
488,Rosetta,31.4,30.42,73.4,78,40,13.87,EG,1592431321
489,Taoudenni,22.68,-3.98,101.46,8,0,11.65,ML,1592431036
490,Coyhaique,-45.58,-72.07,41.0,93,40,3.31,CL,1592431042
491,Brownwood,31.71,-98.99,91.4,36,1,10.29,US,1592431322
492,Raudeberg,61.99,5.14,55.99,93,6,3.27,NO,1592431323
493,Nuuk,64.18,-51.72,39.2,80,75,2.24,GL,1592431294
494,Garoowe,8.41,48.48,84.06,44,71,17.34,SO,1592431324
495,Havøysund,71.0,24.66,48.2,70,27,9.17,NO,1592431324
496,Makakilo City,21.35,-158.09,87.8,48,75,8.05,US,1592431166
497,Yar-Sale,66.83,70.83,36.91,80,5,7.14,RU,1592431325
498,Ushtobe,45.25,77.98,60.04,59,3,11.39,KZ,1592431325
499,Dhārchula,29.85,80.53,70.68,65,30,1.3,IN,1592431325
500,Baykit,61.67,96.37,52.56,68,98,2.89,RU,1592431326
501,Fallon,39.47,-118.78,66.99,17,20,4.7,US,1592431315
502,Shihezi,44.3,86.03,68.02,54,30,8.19,CN,1592431326
503,Lerwick,60.15,-1.15,51.8,93,65,2.33,GB,1592431326
504,Viedma,-40.81,-63.0,51.12,70,94,6.33,AR,1592431124
505,Bakal,54.94,58.81,43.65,95,19,1.54,RU,1592431326
506,Verkhoyansk,67.54,133.38,75.0,34,0,11.86,RU,1592431327
507,Litovko,49.24,135.17,51.31,85,99,7.14,RU,1592431327
508,Payson,40.04,-111.73,62.6,33,40,9.17,US,1592431327
509,Ilhabela,-23.78,-45.36,69.57,82,9,11.52,BR,1592431108
510,Chengde,40.97,117.94,69.66,58,98,1.25,CN,1592431327
511,Corrente,-3.74,-43.34,75.87,78,0,1.92,BR,1592431327
512,San Quintín,30.48,-115.95,69.3,65,0,13.96,MX,1592431328
513,Ejura,7.39,-1.36,73.89,93,98,6.64,GH,1592431328
514,Saint-Pierre,-21.34,55.48,64.4,93,90,11.41,RE,1592431328
515,Pantai Remis,4.46,100.63,77.0,94,20,8.25,MY,1592431328
516,Ukiah,39.15,-123.21,88.0,12,1,3.36,US,1592431153
517,Cayenne,4.93,-52.33,77.0,100,96,5.55,GF,1592431326
518,Morros,-9.45,-46.3,79.12,47,50,9.53,BR,1592431328
519,Luwuk,-0.95,122.79,78.33,80,84,5.59,ID,1592431029
520,Deputatsky,69.3,139.9,73.18,33,0,7.4,RU,1592431329
521,Lodja,-3.48,23.43,67.57,48,5,1.72,CD,1592431329
522,Scottsbluff,41.87,-103.67,91.4,18,1,13.87,US,1592431210
523,Amboasary,-25.03,46.38,64.4,93,75,9.17,MG,1592431330
524,Aykhal,66.0,111.5,51.8,53,0,2.24,RU,1592431330
525,Inhambane,-23.86,35.38,67.06,81,43,14.23,MZ,1592431330
526,Samarai,-10.62,150.67,79.21,83,100,15.23,PG,1592431330
527,Waingapu,-9.66,120.26,76.28,81,80,15.19,ID,1592431330
528,Natal,-5.79,-35.21,78.8,78,20,9.17,BR,1592431087
529,Vrangel',42.73,133.08,56.14,90,72,11.43,RU,1592431331
530,Mapimí,25.82,-103.85,96.8,19,75,8.72,MX,1592431331
531,Tsimmerbude,54.67,20.13,64.4,77,90,8.95,RU,1592431041
532,Oberkirch,48.53,8.08,57.0,93,100,3.62,DE,1592431331
533,Limbang,4.75,115.0,78.8,94,75,2.24,MY,1592431331
534,Daru,-9.08,143.21,78.51,86,73,18.14,PG,1592431332
535,Shizukuishi,39.68,140.98,65.25,70,0,2.46,JP,1592431332
536,Soyo,-6.13,12.37,72.82,89,40,4.14,AO,1592431332
537,Khāsh,28.22,61.22,78.71,16,0,7.31,IR,1592431332
538,Serov,59.6,60.58,41.99,66,0,6.35,RU,1592431332
539,Rawson,-43.3,-65.1,53.69,51,100,8.7,AR,1592431332
540,Jumla,29.27,82.18,62.64,70,84,2.28,NP,1592431333
541,Morón,-34.65,-58.62,77.0,57,90,10.29,AR,1592431333
542,Zaozyornoye,45.16,33.28,70.23,82,86,1.54,UA,1592431333
543,Staryy Nadym,65.61,72.68,38.46,74,16,6.93,RU,1592431333
544,Poum,-20.23,164.02,73.9,71,96,13.82,NC,1592431333
545,Pokhara,28.23,83.98,72.86,86,100,2.39,NP,1592431334
546,Huron,41.15,-82.55,79.0,54,99,1.99,US,1592431334
547,Vila Praia de Âncora,41.81,-8.85,61.0,87,9,6.93,PT,1592431334
548,Berlevåg,70.86,29.09,47.17,73,6,6.26,NO,1592431067
549,Mendi,-6.18,143.65,58.23,93,79,2.24,PG,1592431334
550,Genhe,50.78,121.52,53.62,90,94,2.42,CN,1592431334
551,Chalmette,29.94,-89.96,90.0,40,1,6.93,US,1592431335
552,Lepaterique,14.07,-87.47,84.2,100,40,6.93,HN,1592431335
553,Khonsa,27.02,95.57,70.75,98,100,1.57,IN,1592431335
554,Jiuquan,39.74,98.52,68.09,23,87,6.22,CN,1592431335
555,Shubarkuduk,49.14,56.49,66.38,59,0,5.77,KZ,1592431335
556,Kamina,-8.74,24.99,57.94,51,2,3.4,CD,1592431335
557,Platteville,42.73,-90.48,82.4,42,1,11.41,US,1592431336
